model,term,coefficient,std_error,t_stat,p_value,ci_95_lower,ci_95_upper,window_start,window_end
state_10-year,C(Commodity)[T.Rice],7.25714680466593,1.6909366290180048,4.291791117494715,1.7723763906834832e-05,3.942971911651074,10.571321697680785,2016-08-01,2026-07-01
state_10-year,C(Commodity)[T.Soyabean],4.58846121190666,1.3327195131991236,3.4429309141668516,0.0005754462955582028,1.9763789645426244,7.200543459270696,2016-08-01,2026-07-01
state_10-year,C(Commodity)[T.Tomato],23.52521686578105,1.324555297179376,17.760841631812358,1.4208793436825196e-70,20.929136187777726,26.121297543784376,2016-08-01,2026-07-01
state_10-year,C(Commodity)[T.Wheat],6.384734962140648,1.3101996536797156,4.87310078598252,1.0986014053720735e-06,3.8167908283715537,8.952679095909742,2016-08-01,2026-07-01
state_10-year,C(region)[T.Andhra Pradesh],19.977962155587992,1.1084805695574456,18.022834774238827,1.289628096173714e-72,17.805380161692952,22.150544149483032,2016-08-01,2026-07-01
state_10-year,C(region)[T.Arunachal Pradesh],121.7207453763726,0.8830197412005666,137.84600694303765,0.0,119.99005848598162,123.45143226676359,2016-08-01,2026-07-01
state_10-year,C(region)[T.Assam],15.72084835520538,1.2098635031300964,12.993902464644329,1.3249488661200822e-38,13.349559462860928,18.092137247549832,2016-08-01,2026-07-01
state_10-year,C(region)[T.Bihar],12.631101113341616,1.517325868570089,8.324580352172488,8.462800891456977e-17,9.657197058133287,15.605005168549946,2016-08-01,2026-07-01
state_10-year,C(region)[T.Chandigarh],18.956955850514156,1.443108861880527,13.136192529377992,2.042481585265754e-39,16.128514455457736,21.785397245570575,2016-08-01,2026-07-01
state_10-year,C(region)[T.Chhattisgarh],23.114610227957893,1.5947669060425937,14.49403680273043,1.3214300119593705e-47,19.988924528378035,26.24029592753775,2016-08-01,2026-07-01
state_10-year,C(region)[T.Delhi],22.709192660795587,1.7649201540702069,12.86698019081731,6.904937092405122e-38,19.250012723229098,26.168372598362076,2016-08-01,2026-07-01
state_10-year,C(region)[T.Goa],7.676765713933592,0.9140856352767052,8.398300353565602,4.5298732101404076e-17,5.885190790005835,9.468340637861349,2016-08-01,2026-07-01
state_10-year,C(region)[T.Gujarat],27.438092993887118,2.3510732297113743,11.670454432104401,1.8045671835745859e-31,22.830074138636558,32.046111849137674,2016-08-01,2026-07-01
state_10-year,C(region)[T.Haryana],23.491592872956716,2.22394261859199,10.563039116463166,4.421117295589273e-26,19.132745436832717,27.850440309080714,2016-08-01,2026-07-01
state_10-year,C(region)[T.Himachal Pradesh],22.618260097359403,2.0597919013546204,10.980847182904508,4.7247196091645715e-28,18.581142155057066,26.65537803966174,2016-08-01,2026-07-01
state_10-year,C(region)[T.Jammu and Kashmir],14.489352585853643,1.4709198315515435,9.850538605200601,6.817763036286161e-23,11.606402691866895,17.372302479840393,2016-08-01,2026-07-01
state_10-year,C(region)[T.Jharkhand],17.811824926756422,1.503783615814672,11.844672823561053,2.2931152087499892e-32,14.864463199218248,20.759186654294595,2016-08-01,2026-07-01
state_10-year,C(region)[T.Karnataka],23.927323243433474,1.8439102369572875,12.976403495062177,1.6651792040015218e-38,20.313325588272473,27.541320898594474,2016-08-01,2026-07-01
state_10-year,C(region)[T.Kerala],19.04766522336596,1.642926752946538,11.593739763020212,4.4334333037862605e-31,15.827587958353412,22.26774248837851,2016-08-01,2026-07-01
state_10-year,C(region)[T.Madhya Pradesh],28.964647642601943,2.6091430193928398,11.10121117444231,1.237553180117017e-28,23.850821294077885,34.078473991126,2016-08-01,2026-07-01
state_10-year,C(region)[T.Maharashtra],27.427951409646624,2.4064908998446346,11.397488106610917,4.303573069060038e-30,22.711315916827754,32.14458690246549,2016-08-01,2026-07-01
